old_name,new_name,seq_lengh_AA
CL2137.Contig1_Echiniscoides_1_19201,tEs-i3-KIFC1,183
gb|GFGZ01004643.1|_1_1471,tMi-i17-KIFC1,471
TRINITY_DN50118_c0_g2_i2_39266,tEt-i34-KIFC1,228
gb|GFGY01000268.1|_152721,tPr-i6-KIFC1,570
CL2137.Contig1_Echiniscoides_1583,tEs-i4-KIFC1,583
DN13939_c0_g1_i1_1332,tMp-i5-KIFC1,332
TRINITY_DN54600_c0_g1_i3_14630,tEt-i35-KIFC1,617
TRINITY_DN54600_c0_g1_i10_14632,tEt-i36-KIFC1,619
CL86.Contig2_Richtersius_1327,tRc-i8-KIFC1,327
Unigene9861_Echiniscoides_14457,tEs-i5-KIFC1,444
gb|GFGY01015959.1|_1434,tPr-i7-KIFC1,434
RvY_058141_1669,tRv-i2-KIFC1,669
DN3437_c0_g1_i1_1569,tMp-i6-KIFC1,569
BV898_01492.p01_1812,tHe-i1-KIFC1,812
DN5774_c0_g1_i2_37523,tMp-i7-KIFC1,487
BV898_05201.p01_1686,tHe-i2-KIFC1,686
TRINITY_DN54828_c0_g1_i3_25537,tEt-i37-KIFC1,513
TRINITY_DN54828_c0_g1_i4_20532,tEt-i38-KIFC1,513
RvY_084051_11341,tRv-i3-KIFC1,1341
Unigene10388_Echiniscoides_1445,tEs-i6-KIFC1,445
TRINITY_DN53810_c0_g1_i2_1630,tEt-i39-KIFC1,630
Unigene14350_Richtersius_2578,tRc-i9-KIFC1,577
gb|GFGY01012410.1|_1502,tPr-i8-KIFC1,502
CL86.Contig3_Richtersius_1_1717,tRc-i10-KIFC1,717
Unigene10752_Echiniscoides_26633,tEs-i7-KIFC1,608
gb|GFGZ01011044.1|_22501,tMi-i18-KIFC1,480
gb|GFGY01001773.1|_13481,tPr-i9-KIFC1,469
gb|GFGY01000454.1|_13481,tPr-i10-KIFC1,469
Unigene10577_Echiniscoides_36724,tEs-i8-KIFC1,689
TRINITY_DN54600_c0_g1_i11_7763,tEt-i40-KIFC1,757
TRINITY_DN54600_c0_g1_i8_14772,tEt-i41-KIFC1,759
CL86.Contig2_Richtersius_1_1711,tRc-i11-KIFC1,711
gb|GFGY01002247.1|_7622,tPr-i11-KIFC1,616
RvY_153531_1793,tRv-i4-KIFC1,793
DN13939_c0_g1_i2_12820,tMp-i8-KIFC1,809
BV898_05158.p01_1704,tHe-i3-KIFC1,704
DN13252_c0_g1_i1_12820,tMp-i9-KIFC1,809
gb|GFGY01003898.1|_24830,tPr-i12-KIFC1,807
gb|GFGY01003901.1|_24830,tPr-i13-KIFC1,807
Unigene9840_Echiniscoides_1656,tEs-i9-KIFC1,656
gb|GFGY01013058.1|_24583,tPr-i14-KIFC1,560
BV898_06674.p01_1838,tHe-i4-KIFC1,838
Unigene5361_Richtersius_17821,tRc-i12-KIFC1,805
RvY_140221_1540,tRv-i5-KIFC1,540
TRINITY_DN53810_c0_g1_i3_1863,tEt-i42-KIFC1,863
RvY_093281_1770,tRv-i6-KIFC1,770
RvY_124582_1884,tRv-i7-KIFC1,884
Unigene1819_Richtersius_81098,tRc-i13-KIFC1,1091
BV898_07714.p01_11073,tHe-i5-KIFC1,1073
RvY_177033_1836,tRv-i8-KIFC1,836
gb|GFGY01002037.1|_251099,tPr-i15-KIFC1,1075
RvY_076381_11083,tRv-i9-KIFC1,1083
RvY_191551_1907,tRv-i10-KIFC1,907
RvY_177032_1839,tRv-i11-KIFC1,839
BV898_04349.p01_1616,tHe-i6-KIFC1,616
RvY_177031_1854,tRv-i12-KIFC1,854
RvY_124581_1908,tRv-i13-KIFC1,908
BV898_18037.p01_11046,tHe-i7-KIFC1,1046
DN5774_c0_g1_i1_37909,tMp-i10-KIFC1,873
CL3586.Contig2_Richtersius_151069,tRc-i14-KIFC1,1055
gb|GFGY01006342.1|_1744,tPr-i16-KIFC1,744
CL3586.Contig1_Richtersius_151069,tRc-i15-KIFC1,1055
CL3586.Contig3_Richtersius_151069,tRc-i16-KIFC1,1055
gb|GFGY01002584.1|_6720,tPr-i17-KIFC1,715
gb|GFGY01003000.1|_8897,tPr-i18-KIFC1,890
gb|GFGY01003072.1|_8897,tPr-i19-KIFC1,890
BV898_05551.p01_1884,tHe-i8-KIFC1,884
DN12901_c0_g1_i1_8741,tMp-i11-KIFC1,734
DN13282_c0_g1_i2_28761,tMp-i12-KIFC1,734
Unigene3789_Richtersius_7881,tRc-i17-KIFC1,875
DN13282_c0_g1_i1_28761,tMp-i13-KIFC1,734
DN13282_c0_g1_i4_28761,tMp-i14-KIFC1,734
DN12901_c0_g1_i2_8876,tMp-i15-KIFC1,869
DN13282_c0_g1_i3_28877,tMp-i16-KIFC1,850
gb|GFGY01004135.1|_17881,tPr-i20-KIFC1,865
BV898_00563.p01_11573,tHe-i9-KIFC1,1573
BV898_00563.p02_11574,tHe-i10-KIFC1,1574
CL1888.Contig2_Richtersius_101464,tRc-i18-KIFC1,1455
CL1888.Contig5_Richtersius_101464,tRc-i19-KIFC1,1455
BV898_00822.p01_11835,tHe-i11-KIFC1,1835
BV898_00822.p02_11820,tHe-i12-KIFC1,1820
BV898_00822.p03_11818,tHe-i13-KIFC1,1818
RvY_145452_11788,tRv-i14-KIFC1,1788
RvY_145451_11803,tRv-i15-KIFC1,1803
CL1888.Contig3_Richtersius_101804,tRc-i20-KIFC1,1795
CL1888.Contig1_Richtersius_101819,tRc-i21-KIFC1,1810
CL1888.Contig4_Richtersius_101562,tRc-i22-KIFC1,1553
Unigene12125_Echiniscoides_71624,tEs-i10-KIFC1,1618
gb|GFGY01000737.1|_1932,tPr-i21-KIFC1,932
Unigene11955_Echiniscoides_2933,tEs-i11-KIFC1,932
TRINITY_DN54413_c0_g1_i9_1732,tEt-i43-KIFC1,732
BV898_06568.p02_11197,tHe-i14-KIFC1,1197
RvY_138481_1741,tRv-i16-KIFC1,741
DN13947_c0_g1_i6_81076,tMp-i17-KIFC1,1069
DN13947_c0_g1_i5_81076,tMp-i18-KIFC1,1069
DN13832_c0_g1_i2_81076,tMp-i19-KIFC1,1069
BV898_09370.p01_1744,tHe-i15-KIFC1,744
DN13947_c0_g1_i7_81184,tMp-i20-KIFC1,1177
DN13947_c0_g1_i3_81184,tMp-i21-KIFC1,1177
DN13832_c0_g1_i1_81184,tMp-i22-KIFC1,1177
Unigene11707_Echiniscoides_19765,tEs-i12-KIFC1,747
gb|GFGY01005298.1|_14743,tPr-i22-KIFC1,730
gb|GFGY01005080.1|_14743,tPr-i23-KIFC1,730
CL86.Contig4_Richtersius_11012,tRc-i23-KIFC1,1012
DN1932_c0_g1_i1_26764,tMp-i23-KIFC1,739
DN3206_c0_g1_i1_37775,tMp-i24-KIFC1,739
Unigene11274_Echiniscoides_61227,tEs-i13-KIFC1,1222
gb|GFGY01001430.1|_81209,tPr-i24-KIFC1,1202
gb|GFGY01000478.1|_61664,tPr-i25-KIFC1,1659
TRINITY_DN54413_c0_g1_i6_4787,tEt-i44-KIFC1,784
TRINITY_DN54413_c0_g1_i7_1757,tEt-i45-KIFC1,757
gb|GFGY01000335.1|_81167,tPr-i26-KIFC1,1160
RvY_092501_11180,tRv-i17-KIFC1,1180
CL2638.Contig2_Richtersius_26980,tRc-i24-KIFC1,955
CL2638.Contig1_Richtersius_26980,tRc-i25-KIFC1,955
RvY_184341_11157,tRv-i18-KIFC1,1157
CL86.Contig1_Richtersius_11006,tRc-i26-KIFC1,1006
BV898_12123.p02_11710,tHe-i16-KIFC1,1710
TRINITY_DN54413_c0_g1_i5_1801,tEt-i46-KIFC1,801
TRINITY_DN54413_c0_g1_i8_31816,tEt-i47-KIFC1,786
TRINITY_DN54413_c0_g1_i3_31816,tEt-i48-KIFC1,786
CL2638.Contig4_Richtersius_261196,tRc-i27-KIFC1,1171
CL2638.Contig3_Richtersius_261196,tRc-i28-KIFC1,1171
TRINITY_DN54413_c0_g1_i2_31829,tEt-i49-KIFC1,799
sp|Q9BW19|KIFC1_HUMAN,sp|Q9BW19|KIFC1_HUMAN,673
sp|Q9QWT9|KIFC1_MOUSE,sp|Q9QWT9|KIFC1_MOUSE,674
pdb|2NCD|A,pdb|2NCD|A,420
NP_001379016.1,NP_001379016.1,572
NP_001075167.2,NP_001075167.2,647
XP_031746935.1,XP_031746935.1,650
NP_571281.2,NP_571281.2,618
